Timestamp,Actor,Target,Spell,Aura Apply,White Damage,White Crit,Yellow Damage,Yellow Crit,Consecutive Crit,Buffer Income,Observed Buffer,Expected Buffer,Observed Tick,Expected Tick,Buffer Delta,Tick Delta,Delta Ratio,Remaining Deep Wound Tick,Vomit Before,Vomit After,Vomit Before Bonus,Vomit After Bonus,Munched,Munched Bonus,Total Observed Tick,Total Expected Tick,Total Tick Damage Delta,Total Vomit Before,Total Vomit After,Total Munched Bonus
5/8 16:07:19.959,Player-4904-00822A31,BUFF,Heightened Reflexes,0,,,,,0,0,0,0,,,,,,0,,,,,,,2905,2903.711273148148,1.2887268518520614,0.0,0.015138888888941437,0.0
5/8 16:07:20.100,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,902.0,nil,0,0,3608.0,3605.558981481481,902.0,901.3897453703703,2.441018518518831,0.6102546296297078,4.0,4,,,,,,,3807,3805.1010185185182,1.8989814814817692,0.0,0.015138888888941437,0.0
5/8 16:07:20.230,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Melee OH Crit,,1846.0,1,1.0,,1,638.85,3608.0,4244.4089814814815,,,,,,6,,,,,,,3807,3805.1010185185182,1.8989814814817692,0.0,0.015138888888941437,0.0
5/8 16:07:20.230,Player-4904-00822A31,BUFF,Bloodthirst,0,,,,,1,0,0,0,,,,,,0,,,,,,,3807,3805.1010185185182,1.8989814814817692,0.0,0.015138888888941437,0.0
5/8 16:07:20.641,Player-4904-00822A31,BUFF,Slam!,0,,,,,1,0,0,0,,,,,,0,,,,,,,3807,3805.1010185185182,1.8989814814817692,0.0,0.015138888888941437,0.0
5/8 16:07:20.644,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Slam,,118.0,0,1804.0,nil,1,0,3608.0,4244.4089814814815,,,,,,6,,,,,,,3807,3805.1010185185182,1.8989814814817692,0.0,0.015138888888941437,0.0
5/8 16:07:21.328,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,707.0,nil,0,0,3535.0,3537.0074845679014,707.0,707.4014969135802,-2.007484567901429,-0.40149691358021755,5.0,5,,,,,,,4514,4512.502515432098,1.4974845679016653,0.0,0.015138888888941437,0.0
5/8 16:07:21.941,Player-4904-00822A31,BUFF,Heightened Reflexes,1,,,,,0,0,0,0,,,,,,0,,,,,,,4514,4512.502515432098,1.4974845679016653,0.0,0.015138888888941437,0.0
5/8 16:07:21.941,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Heroic Strike,,118.0,0,4311.0,1,1,1022.16,3535.0,4559.167484567902,,,,,,6,,,,,,,4514,4512.502515432098,1.4974845679016653,0.0,0.015138888888941437,0.0
5/8 16:07:22.182,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Bloodthirst,,118.0,0,1822.0,nil,1,0,3535.0,4559.167484567902,,,,,,6,,,,,,,4514,4512.502515432098,1.4974845679016653,0.0,0.015138888888941437,0.0
5/8 16:07:22.182,Player-4904-00822A31,BUFF,Bloodthirst,1,,,,,1,0,0,0,,,,,,0,,,,,,,4514,4512.502515432098,1.4974845679016653,0.0,0.015138888888941437,0.0
5/8 16:07:22.787,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Melee OH Crit,,2001.0,1,1.0,,2,638.85,3535.0,5198.017484567902,,,,,,6,,,,,,,4514,4512.502515432098,1.4974845679016653,0.0,0.015138888888941437,0.0
